province,city,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
上海|上海,上海|上海,34.92426,44.433037,23.491634,29.310776,1.4063724,42.25054,274.04572,80.82796,103581.35,2.757196,-8.414289
中国香港,九龙城区,51.745205,67.98345,12.851578,31.180893,0.9239342,33.399284,287.24817,68.41782,102275.48,-3.2722914,-9.751616
中国香港,元朗,63.95912,87.96683,22.312202,52.88216,1.2350694,21.399155,284.38812,63.806324,101615.47,-4.2690167,-9.896375
中国香港,大埔区,56.101254,76.57309,14.053391,34.96516,1.0918131,30.624077,285.51987,73.85069,101616.26,-3.7663543,-11.955108
中国香港,西貢,51.694233,70.75524,11.296479,24.746725,0.96566725,35.810818,286.82077,74.01392,102031.23,-3.3415763,-12.5344515
內蒙古自治區|内蒙古自治区,乌兰察布市,16.527126,22.314121,15.197334,7.7539597,0.7533162,54.342823,247.49622,57.25984,87113.336,3.9765835,-0.15876864
內蒙古自治區|内蒙古自治区,乌海市,28.101336,39.738914,141.96375,33.079933,1.1138322,31.804077,255.7373,31.347088,87308.42,-3.3168187,4.0141015
內蒙古自治區|内蒙古自治区,兴安盟,2.0970378,2.486375,2.056294,1.5455611,0.22632724,55.305016,253.49435,51.893463,96014.05,8.771601,-4.5744233
內蒙古自治區|内蒙古自治区,包头市,17.477093,22.273632,27.429857,8.49553,0.6839308,56.492798,248.59537,53.32159,86833.31,2.5784905,0.7450707
內蒙古自治區|内蒙古自治区,呼伦贝尔市,1.1718415,1.4652191,2.4011667,1.6480639,0.21505481,50.503113,249.09564,66.826515,94269.78,6.8246326,-1.3300871
內蒙古自治區|内蒙古自治区,呼和浩特市,47.732777,66.83822,57.740387,35.906384,2.0014088,31.50419,248.12532,56.898994,87976.03,0.7315387,-0.7505402
內蒙古自治區|内蒙古自治区,巴彦淖尔市,11.849514,14.296848,12.743144,6.116285,0.30392602,59.762806,250.43175,48.948666,88683.664,-0.117722586,1.0715815
內蒙古自治區|内蒙古自治区,赤峰市,6.0607905,7.5442967,4.8206983,3.146257,0.25653875,54.39672,253.06432,50.94068,93229.54,8.459455,-3.9025354
內蒙古自治區|内蒙古自治区,通辽市,6.6602793,8.241237,6.2490497,3.9823391,0.2724014,50.418396,254.76195,54.19047,99397.38,7.683137,-3.4145443
內蒙古自治區|内蒙古自治区,鄂尔多斯市,15.680007,20.092,23.318312,10.999351,0.48705673,47.898624,253.34703,50.666843,88358.15,-1.4240606,0.66299254
內蒙古自治區|内蒙古自治区,锡林郭勒盟,2.7991483,3.4428294,1.968056,1.3989551,0.21653022,50.228256,244.60692,68.604744,90328.09,6.110223,1.1044134
內蒙古自治區|内蒙古自治区,阿拉善盟,8.914359,11.597469,17.044096,6.074273,0.31616825,44.46483,255.42955,44.481365,88679.914,-4.751934,0.7938649
北京|北京,北京|北京,26.14654,39.480103,27.201675,19.868118,0.7101323,49.020794,259.60092,39.873543,99890.164,3.778944,-4.7071805
吉林,吉林市,39.98093,51.931652,16.730461,21.524363,0.76169693,35.656876,248.25836,76.844086,98432.49,5.0944424,3.5760837
吉林,四平市,28.879797,36.99053,16.539589,13.635536,0.65068215,44.604385,252.1318,68.52379,101025.44,6.352621,0.4956453
吉林,延边朝鲜族自治州,16.942942,18.359589,8.052441,10.468369,0.3232777,41.54132,249.08134,62.82817,94788.695,10.246786,-0.5687646
吉林,松原市,20.193804,25.8049,8.702293,8.537561,0.4825158,43.1901,252.416,68.38835,101349.3,6.6154685,-0.58094555
吉林,白城市,7.4435754,8.891219,3.9339674,3.908485,0.27310202,48.994358,255.28142,54.2602,101496.52,6.410586,-2.4106953
吉林,白山市,23.048063,26.995111,13.280962,16.03313,0.3975782,35.72382,247.30293,73.39604,93084.16,3.9530237,2.1398656
吉林,辽源市,35.300568,47.234833,20.814026,18.870983,0.7789776,39.89378,250.40842,74.7159,99001.99,6.6527424,1.9738997
吉林,通化市,33.286636,40.979897,18.407747,20.004463,0.5578512,30.222462,249.443,74.80029,97054.08,3.5854547,0.5909679
吉林,长春市,43.804886,57.175053,16.201283,16.89297,0.88076854,40.225418,250.16864,74.42333,100863.46,6.289215,1.2888197
四川,乐山市,68.73157,76.575516,28.129742,16.913187,0.7046423,44.072727,270.2424,74.14622,90264.04,-0.14302567,-4.3902955
四川,内江市,66.23953,93.545525,20.135427,27.104975,1.5484457,25.918285,274.65338,77.06775,98178.74,0.8873532,-4.732582
四川,凉山彝族自治州,42.76222,47.59058,14.240518,5.377271,0.43724388,64.65985,271.96414,73.29498,74060.5,1.6534952,4.2198505
四川,南充市,56.46149,72.40498,21.416746,14.842538,0.7888171,33.800957,273.59204,68.906586,98364.61,-5.532626,-2.4272985
四川,宜宾市,94.76966,117.70112,32.81219,18.582954,0.9662945,29.195364,275.02173,65.034515,96525.55,2.082359,-3.7665558
四川,巴中市,54.35182,59.759823,21.687046,10.241539,0.49400985,39.11433,270.25867,53.76425,93826.54,-6.4511895,-2.3637877
四川,广元市,53.3204,58.01928,21.511719,9.98982,0.48664626,39.373722,269.35168,68.46471,92893.01,-4.385812,-2.056853
四川,广安市,45.805702,83.819626,18.929377,23.890465,1.2198386,22.866291,275.61578,62.815056,98278.195,-3.7554696,0.79987925
四川,德阳市,57.112335,57.284,18.569788,15.686941,0.6663119,49.352924,270.1048,77.01598,93172.11,-4.7096114,-5.0568466
四川,成都市,60.14802,67.20219,22.513468,23.887917,0.77609944,52.908936,271.72073,69.03011,95082.56,-3.9704673,-4.996651
四川,攀枝花市,36.580765,41.749287,17.714537,10.064764,0.4419771,56.367138,278.2579,75.332375,81697.6,-0.9847574,3.372521
四川,泸州市,86.06182,130.52638,28.358385,23.455853,1.4836909,23.260668,274.5774,67.03397,94815.445,0.31189165,0.7744817
四川,甘孜藏族自治州,5.7256436,6.2696004,1.2359552,0.68787575,0.15294355,82.92375,266.45764,59.985714,60570.445,8.263547,5.726803
四川,眉山市,66.79669,72.07481,24.427141,23.075949,0.8083987,48.275787,272.50598,73.476265,95739.14,-0.9841487,-5.103176
四川,绵阳市,51.096825,53.511208,18.913363,10.785012,0.5240045,45.674988,267.69205,78.36374,89156.75,-3.703183,-2.6970448
四川,自贡市,74.87809,94.62844,25.083876,22.401556,1.1730602,29.396555,274.8873,70.15512,98132.84,1.582094,-5.1312356
四川,资阳市,62.73442,77.63557,17.749315,23.466309,1.2514477,33.854744,273.83118,83.73066,98286.78,-3.1818657,-5.3201203
四川,达州市,53.105145,65.396,23.979855,12.660838,0.6135672,37.24614,272.8808,49.603413,95486.47,-5.659103,-0.02638187
四川,遂宁市,54.78095,70.73676,17.782887,19.78283,1.0640415,32.060528,273.45203,86.159805,98738.75,-5.1396427,-4.4055576
四川,阿坝藏族羌族自治州,21.7432,23.905823,6.3743167,3.3155122,0.26804224,69.08322,264.42648,70.90667,65277.586,2.2418056,3.2908144
四川,雅安市,49.1921,55.680058,17.925573,9.3402405,0.5312371,64.678505,265.3903,79.34919,80267.07,-1.9587816,-0.6592999
天津|天津,天津|天津,30.976145,55.925606,41.332306,29.62915,1.4467739,43.36107,261.1562,41.237392,104163.914,4.028128,-5.2623053
安徽|安徽,亳州市,44.38839,75.763596,70.83721,32.409264,1.9897983,30.40971,264.70734,47.67594,103984.24,-0.86467606,-5.9837146
安徽|安徽,六安市,42.371937,48.523678,29.576063,18.633549,1.179094,35.12839,266.12988,53.716972,101543.06,-1.2041891,-5.805783
安徽|安徽,合肥市,43.634678,48.22805,36.479115,18.08224,1.3413289,36.609802,266.8158,51.910904,103671.21,-0.2546468,-6.617318
安徽|安徽,安庆市,39.069862,45.482838,18.190182,16.88536,0.79164827,39.607918,268.8848,49.690166,101755.02,-3.6218953,-8.898616
安徽|安徽,宣城市,42.184002,56.175785,23.901855,24.39665,1.0110885,38.55338,268.26666,73.03886,101277.57,0.17401224,-5.8567657
安徽|安徽,宿州市,35.619247,71.92159,92.92021,38.15821,2.1980705,37.885292,263.78488,50.495277,103876.85,0.75276047,-6.2001424
安徽|安徽,巢湖市,41.866096,48.213753,26.209833,15.414712,1.0776749,43.430656,268.31265,62.675632,103697.66,0.034960013,-7.237176
安徽|安徽,池州市,44.368855,53.78653,18.919407,20.365553,0.7145864,37.653194,268.9027,66.77201,101562.14,-3.4325871,-7.781475
安徽|安徽,淮北市,40.32776,84.22653,133.60619,45.16156,2.362582,23.320875,263.87708,49.071026,103964.125,0.3033941,-6.310362
安徽|安徽,淮南市,49.330738,63.66053,51.72251,31.583033,1.6286955,24.261066,265.3841,48.048058,103951.2,-0.71516585,-6.776684
安徽|安徽,滁州市,40.583603,53.778824,29.567532,17.51127,1.2221259,46.817936,265.91385,62.08576,103536.08,0.95966744,-6.8265853
安徽|安徽,芜湖市,47.275307,61.960453,31.151783,22.422537,1.0506,38.596184,269.1468,68.5205,103629.7,-0.7681202,-6.2566004
安徽|安徽,蚌埠市,39.49765,61.126255,61.793972,30.26018,1.91839,37.564247,264.43903,52.249924,103932.266,0.4261657,-6.3744965
安徽|安徽,铜陵市,43.613102,51.632355,24.47956,18.104668,0.92309755,40.730114,269.59943,70.5549,103552.19,-1.1528401,-6.845864
安徽|安徽,阜阳市,56.436325,76.10294,29.995893,24.291224,1.3324981,30.168673,265.88,42.736305,103950.625,-1.8602238,-6.068891
