province,city,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
上海|上海,上海|上海,54.20298,90.4529,24.833202,42.15256,1.7007598,35.566395,276.55032,68.85814,103034.36,0.3571785,-8.87304
中国香港,九龙城区,47.49907,68.60696,9.753716,48.54773,0.8023484,44.859116,289.905,60.148342,101938.37,-2.2427282,-5.668289
中国香港,元朗,78.06803,118.02471,20.068071,81.92358,1.4137694,24.24177,286.31693,50.764404,101273.94,-3.3563545,-6.061176
中国香港,大埔区,56.80983,85.364746,11.678983,54.53661,0.96607995,40.566242,288.42606,62.773663,101279.78,-2.5526683,-7.1094413
中国香港,西貢,47.83727,71.30396,9.000422,33.037422,0.7754839,52.437862,289.67804,63.5542,101694.32,-2.3470182,-7.1457486
內蒙古自治區|内蒙古自治区,乌兰察布市,7.4770694,9.769894,7.673063,3.4575143,0.7367886,47.80862,242.59549,65.2293,86905.89,5.950924,-2.8925476
內蒙古自治區|内蒙古自治区,乌海市,17.469278,24.539957,52.782032,19.05366,0.8915791,37.608864,253.48296,40.385136,87346.484,-2.236071,-2.511497
內蒙古自治區|内蒙古自治区,兴安盟,2.7558165,3.1140985,2.423675,1.751379,0.22813231,56.90283,249.57558,51.8255,95394.586,8.395508,-7.2793894
內蒙古自治區|内蒙古自治区,包头市,6.259601,8.154422,7.822215,3.8575497,0.5589122,47.170956,242.68066,66.13178,86751.31,3.699727,-2.6819232
內蒙古自治區|内蒙古自治区,呼伦贝尔市,1.1997554,1.45997,2.2976587,1.5267028,0.22454251,55.513065,246.50253,65.11171,93826.0,6.0870724,-5.3152084
內蒙古自治區|内蒙古自治区,呼和浩特市,23.321636,34.432728,32.302452,18.774475,2.8025348,44.023643,245.62262,60.98882,87742.914,2.0869117,-3.2595587
內蒙古自治區|内蒙古自治区,巴彦淖尔市,3.8376076,4.6830525,3.5117326,2.2497191,0.22507147,51.19612,246.5062,59.720974,88758.375,0.34765705,-2.5216827
內蒙古自治區|内蒙古自治区,赤峰市,4.326261,4.9049234,2.7733765,1.5969033,0.23459879,55.211647,248.54395,51.322296,92660.125,10.22626,-7.3085275
內蒙古自治區|内蒙古自治区,通辽市,5.813313,6.875945,4.999804,3.0652878,0.25867566,53.164345,250.4123,52.391678,98783.73,8.214319,-6.1017704
內蒙古自治區|内蒙古自治区,鄂尔多斯市,8.548632,11.067352,11.009005,7.369836,0.49911365,48.073517,251.53358,54.129154,88299.54,-0.056611434,-3.4183788
內蒙古自治區|内蒙古自治区,锡林郭勒盟,1.9966259,2.4684587,1.3007016,0.95133513,0.21370292,49.1521,242.90176,67.99314,89942.445,7.9865007,-2.3530986
內蒙古自治區|内蒙古自治区,阿拉善盟,3.7904325,4.7938633,5.39254,2.3679576,0.24677184,44.316914,253.8133,57.17312,88891.2,-5.1826954,-0.61284554
北京|北京,北京|北京,12.469133,20.174026,14.124325,10.187602,0.6070199,51.25771,256.7399,36.363953,99475.1,5.4244256,-7.078975
吉林,吉林市,46.033146,57.709785,19.577387,22.853682,0.80270934,30.060146,243.0189,71.8908,97744.23,4.148472,4.127396
吉林,四平市,27.620848,34.270752,15.155865,12.450541,0.630813,43.809547,245.95348,67.93141,100353.53,5.7767377,0.70625925
吉林,延边朝鲜族自治州,31.293566,34.043793,12.654195,15.42345,0.40458012,32.56711,245.98982,62.415726,94108.25,8.690656,-0.0493246
吉林,松原市,25.147112,30.345795,9.011187,10.445222,0.50100476,42.22043,246.14484,68.57072,100693.61,6.0191307,-0.8775185
吉林,白城市,9.443675,11.020157,4.9536695,4.893114,0.28673396,49.28538,249.95528,59.750244,100869.34,5.18316,-4.014465
吉林,白山市,29.214617,34.35878,16.516394,18.526684,0.43350607,28.813555,243.77402,70.2993,92324.37,4.3768897,1.6537836
吉林,辽源市,32.356976,44.005524,20.961987,17.55913,0.78817004,37.607063,245.45877,71.2167,98297.19,6.5629225,2.371587
吉林,通化市,31.737326,39.10001,20.011166,20.223337,0.55772847,27.422808,245.37123,71.048096,96338.85,4.046221,0.7767648
吉林,长春市,56.990223,66.81887,17.72512,19.53148,0.9225039,36.933384,243.21031,70.183266,100204.51,5.426712,2.1798284
四川,乐山市,146.33797,180.6534,58.488243,36.039402,1.2999027,40.60859,275.48813,37.789,89578.45,0.36033946,-4.354113
四川,内江市,133.01672,179.1839,30.390419,39.29823,1.9075394,29.258017,279.07172,35.13634,97292.81,-0.68270195,-6.3221674
四川,凉山彝族自治州,29.002789,32.78756,12.215774,4.548391,0.33343133,66.043594,278.4432,39.015305,73774.734,3.6089334,2.9955304
四川,南充市,73.48786,91.52526,24.459423,15.036684,0.87092257,39.751305,278.08362,39.626083,97425.55,-6.9878078,-5.0719223
四川,宜宾市,140.06805,187.56706,54.497448,27.181095,1.4656415,35.088184,278.9495,30.360607,95660.74,2.6319492,-3.7888513
四川,巴中市,61.30223,66.93541,24.43475,11.088076,0.5466693,42.482697,273.78677,47.022484,93051.32,-9.208027,-5.757588
四川,广元市,67.51245,73.16081,24.39818,10.369526,0.5879764,44.15358,273.94998,44.380184,92164.234,-5.222346,-5.9366965
四川,广安市,60.657463,100.35414,28.096825,23.406656,1.1191131,35.643833,280.10788,42.655067,97294.85,-4.172544,-1.7160157
四川,德阳市,122.9732,141.4698,31.49608,35.38833,1.2186836,39.20282,275.63528,40.280235,92411.12,-4.7548523,-6.2268376
四川,成都市,140.18935,183.28188,52.775402,61.207184,1.4924865,32.708702,276.71762,38.285168,94277.195,-3.8913925,-5.6353683
四川,攀枝花市,20.504288,23.8082,11.584207,7.4422393,0.31509182,60.94151,284.32858,43.54617,81229.28,1.5435798,5.032829
四川,泸州市,111.07319,184.94275,43.38792,32.367954,1.5911648,29.466227,278.64523,39.441936,93949.24,2.2970812,-0.9687852
四川,甘孜藏族自治州,3.474061,3.9562478,1.0356097,0.87516487,0.13277306,79.30316,269.9305,36.329357,60696.875,8.556628,2.6286242
四川,眉山市,166.44864,219.86739,57.040688,60.417725,1.7610133,29.161888,277.40097,37.28999,94910.97,-0.8119335,-4.853942
四川,绵阳市,83.73603,92.39675,23.968475,16.657747,0.76157993,48.572437,272.92233,46.49024,88509.695,-3.8483756,-5.703768
四川,自贡市,152.43672,206.34253,42.786736,42.251717,1.914476,27.805094,279.50735,32.608223,97231.91,0.27492362,-6.0337725
四川,资阳市,133.2295,160.36336,26.76284,34.667557,1.6884785,32.202744,278.70667,36.48184,97392.78,-3.1129704,-6.771963
四川,达州市,59.749477,71.53237,27.143051,12.94585,0.63836193,43.68585,276.67148,44.99074,94627.15,-8.047537,-1.8585902
四川,遂宁市,106.77448,126.185005,23.129692,24.202246,1.3151374,36.22107,278.59033,37.852585,97799.97,-5.191754,-6.787125
四川,阿坝藏族羌族自治州,18.361214,22.04786,5.30515,4.416152,0.25838116,73.51532,268.98514,38.913616,65270.6,5.2512927,1.8301448
四川,雅安市,103.91218,130.95956,39.52094,27.482584,0.9457028,57.629715,271.71933,47.683544,79850.6,-1.301766,-1.5799366
天津|天津,天津|天津,14.601078,36.8331,28.127584,18.801987,1.2752646,48.300842,259.1851,38.262287,103769.586,4.6976476,-6.697449
安徽|安徽,亳州市,40.5848,83.07964,55.760155,34.25467,1.7276493,27.000587,267.26746,48.46528,103440.836,-3.1462781,-7.960484
安徽|安徽,六安市,56.107975,77.85572,18.368216,22.799791,1.199973,28.293343,268.90503,66.89102,100954.31,-4.003154,-6.1126
安徽|安徽,合肥市,50.57469,72.12548,17.075008,19.010405,1.2862365,34.988026,270.2182,57.279804,103051.23,-3.1457503,-7.9635677
安徽|安徽,安庆市,60.15062,80.5233,19.712107,24.80616,0.96478903,29.057997,271.74875,67.951866,101085.64,-5.682352,-10.321438
安徽|安徽,宣城市,69.08471,99.88581,25.089645,35.169685,1.2829857,30.311192,272.3111,79.35204,100654.82,-2.8134904,-6.638385
