province,city,pm25,pm10,so2,no2,co,o3,temp,rh,psfc,u,v
上海|上海,上海|上海,73.64411,104.98385,42.295826,68.5847,1.5570352,16.299479,276.6759,63.774536,102376.02,5.7173142,-0.047070142
中国香港,九龙城区,32.91225,49.92816,9.94694,39.22085,0.6610492,36.675655,287.7382,53.31026,101938.96,-1.4444221,-4.9852414
中国香港,元朗,56.722103,93.45694,17.487635,70.09971,1.3433231,13.937364,284.00412,39.267857,101274.26,-2.4643376,-5.454948
中国香港,大埔区,40.58037,63.802475,11.404701,46.1042,0.84514076,29.828987,286.0248,56.454365,101277.27,-1.7767841,-6.4631896
中国香港,西貢,34.696854,53.131626,9.744652,28.840248,0.63145536,43.50694,287.31607,58.44525,101693.29,-1.4618379,-6.4865184
內蒙古自治區|内蒙古自治区,乌兰察布市,4.8490386,7.096873,5.131493,2.1257644,0.6576935,43.742523,245.90665,67.97419,85735.664,7.3422947,-3.9421675
內蒙古自治區|内蒙古自治区,乌海市,22.11257,43.362938,75.48498,23.182812,0.9101271,31.49213,257.0796,56.52399,86301.016,-0.12242453,-2.9395554
內蒙古自治區|内蒙古自治区,兴安盟,4.1667724,4.7482653,3.9995036,2.8020048,0.23689406,50.83605,244.54051,55.990837,94553.24,6.1821456,-6.203297
內蒙古自治區|内蒙古自治区,包头市,4.6497254,6.390405,6.445574,2.9481058,0.5149744,42.20592,246.37572,70.02376,85635.84,5.7085333,-3.546324
內蒙古自治區|内蒙古自治区,呼伦贝尔市,2.0632296,2.4517076,3.2949119,2.1637123,0.22971451,54.815216,241.2834,67.11739,93160.67,3.5688243,-5.34862
內蒙古自治區|内蒙古自治区,呼和浩特市,15.094391,25.722729,17.370417,10.928423,2.4674926,49.205425,249.89023,59.59781,86591.445,4.883214,-4.178288
內蒙古自治區|内蒙古自治区,巴彦淖尔市,2.8311934,3.371784,2.8308792,1.662543,0.19908097,44.954945,250.17622,65.98759,87636.27,1.368375,-3.3479006
內蒙古自治區|内蒙古自治区,赤峰市,5.908111,6.798586,5.2720265,2.8158627,0.25785837,45.911842,247.01329,51.473778,91644.09,8.333523,-6.872126
內蒙古自治區|内蒙古自治区,通辽市,8.417306,10.004769,7.4964843,4.8841085,0.2707184,42.175716,247.50497,57.640884,97837.62,6.727887,-5.514252
內蒙古自治區|内蒙古自治区,鄂尔多斯市,8.389951,12.644347,13.855283,7.781683,0.48823497,43.58132,256.27786,55.694622,87208.91,2.2161007,-3.8392563
內蒙古自治區|内蒙古自治区,锡林郭勒盟,1.8238474,2.2093437,1.6600014,1.0295227,0.20719407,43.105022,242.72,68.95791,88795.96,6.7171707,-3.8411083
內蒙古自治區|内蒙古自治区,阿拉善盟,2.8051019,3.9991665,2.0379634,1.197478,0.19230512,45.46341,258.1662,63.09801,87883.04,0.2006982,-2.2143826
北京|北京,北京|北京,27.255938,40.975315,21.902555,18.842484,0.9879415,41.85266,258.61664,39.2492,98245.08,3.7487211,-6.6816387
吉林,吉林市,68.69191,87.86783,26.49305,33.243305,0.92393655,28.780031,246.49132,75.56885,96874.91,2.2175963,1.5112907
吉林,四平市,61.65086,69.43726,24.26386,24.300173,0.8418326,36.687828,244.10207,71.247444,99456.91,2.8544848,-0.4110354
吉林,延边朝鲜族自治州,33.214462,37.40543,15.369039,18.773823,0.4229502,26.398613,252.26251,70.25062,93482.05,4.0962024,0.57658446
